gene_name,logFC,logCPM,PValue,FDR,Condition
ENSG00000137267,-0.907416749032783,6.69689915888815,0.0320977953992554,1,CMS PostHem Vs. CMS PreHem
ENSG00000148019,0.801783903443253,5.96961439892633,0.0398531695173544,1,CMS PostHem Vs. CMS PreHem
ENSG00000166946,-0.467964344970554,7.19840171119292,0.0424233482418309,1,CMS PostHem Vs. CMS PreHem
ENSG00000286931,0.343776916507932,6.54238969137582,0.0428126744297081,1,CMS PostHem Vs. CMS PreHem
ENSG00000179262,-0.622442641606496,6.46605537744485,0.0549267456076877,1,CMS PostHem Vs. CMS PreHem
ENSG00000115758,-0.49786498884543,6.84288879666124,0.0626540813844195,1,CMS PostHem Vs. CMS PreHem
ENSG00000165929,0.479385832620213,6.92470950711331,0.0707698711270379,1,CMS PostHem Vs. CMS PreHem
ENSG00000281392,0.314181641615686,7.28322610675962,0.0738107566273677,1,CMS PostHem Vs. CMS PreHem
ENSG00000175931,-0.84920254361458,6.95952648865239,0.0740053018466448,1,CMS PostHem Vs. CMS PreHem
ENSG00000112406,-0.217894608805392,7.55913189559149,0.0749697789563481,1,CMS PostHem Vs. CMS PreHem
ENSG00000175899,1.07381111582661,5.43585114081201,0.0759611100784484,1,CMS PostHem Vs. CMS PreHem
ENSG00000158578,-1.1083638886323,10.9422493294197,0.0806084201998167,1,CMS PostHem Vs. CMS PreHem
ENSG00000086232,-0.6125598387788,7.64581166059955,0.0808339444736147,1,CMS PostHem Vs. CMS PreHem
ENSG00000131981,-0.632564249432382,6.56872993268407,0.0827425277319993,1,CMS PostHem Vs. CMS PreHem
ENSG00000008952,-0.407958365675338,6.52692795854578,0.0830800546666101,1,CMS PostHem Vs. CMS PreHem
ENSG00000182512,-0.714228837264115,6.7246171507842,0.0843389092250273,1,CMS PostHem Vs. CMS PreHem
ENSG00000150477,0.291966580945696,6.49038078550866,0.0848026142337766,1,CMS PostHem Vs. CMS PreHem
